objectID,department,objectName,title,final_group
46060,Asian Art,Vase,Vase with immortals,vase
46061,Asian Art,Covered jar,Covered jar with immortals,jar
46062,Asian Art,Vase,Vase with lion and bird,vase
46063,Asian Art,Vase,Vase,vase
46064,Asian Art,Jar,Jar,jar
46066,Asian Art,Covered jar,Covered Jar,jar
46067,Asian Art,Vase,Vase with immortal Liu Hai,vase
46068,Asian Art,Jar,Jar,jar
46071,Asian Art,Jar,Jar,jar
46074,Asian Art,Vase,Vase with birds and flowers,vase
46075,Asian Art,Vase,"Vase decorated with magnolia, hollyhocks, and pheasants",vase
46076,Asian Art,Vase,Vase with birds and flowers,vase
46077,Asian Art,Covered jar,Covered Jar,jar
46078,Asian Art,Vase,Vase with birds and flowers,vase
46080,Asian Art,Bottle vase,Bottle vase,vase
46081,Asian Art,Vase,Vase in the shape of a bottle,vase
46082,Asian Art,Vase,Vase with birds and flowers,vase
46083,Asian Art,Vase,Vase decorated with floral medallions,vase
46084,Asian Art,Vase,Vase with birds and flowers,vase
46086,Asian Art,Vase,Vase with eight treasures and auspicious symbols,vase
46087,Asian Art,Vase,Vase with birds and flowers,vase
46090,Asian Art,Jar with cover,Octagonal Jar with Cover,jar
46092,Asian Art,Jar,Offering Jar,jar
46094,Asian Art,Vase,Vase with landscape scenes,vase
46097,Asian Art,Covered jar,Covered jar with floral patterns,jar
46099,Asian Art,Covered jar,Covered jar,jar
46103,Asian Art,Vase,Vase,vase
46104,Asian Art,Vase,ase with birds and flowers,vase
46105,Asian Art,Vase,Vase with the “One Hundred Deer” motif,vase
46106,Asian Art,Covered jar,Covered jar with lions,jar
46114,Asian Art,Vase,Vase,vase
46116,Asian Art,Jar,Jar,jar
46120,Asian Art,Vase,Square vase with flowers of four seasons,vase
46121,Asian Art,Vase,Triple gourd vase,vase
46123,Asian Art,Vase,Square vase with flowers of four seasons,vase
46124,Asian Art,Bottle vase,Bottle vase,vase
46125,Asian Art,Vase,Vase with landscape,vase
46126,Asian Art,Vase,Meiping vase with dragons,vase
46129,Asian Art,Jar,Jar,jar
46130,Asian Art,Vase,Vase with archaistic patterns,vase
46131,Asian Art,Bottle,Bottle,bottle
46137,Asian Art,Vase,Vase,vase
46138,Asian Art,Vase,Vase,vase
46139,Asian Art,Vase,Vase,vase
46140,Asian Art,Vase,Meiping vase,vase
46141,Asian Art,Vase,Meiping vase,vase
46142,Asian Art,Bottle vase,Bottle vase,vase
46143,Asian Art,Vase,Vase with floral scrolls,vase
46144,Asian Art,Bottle vase,Bottle vase,vase
46146,Asian Art,Vase,Vase,vase
46147,Asian Art,Bottle vase,Bottle vase,vase
46148,Asian Art,Vase,Meiping vase,vase
46149,Asian Art,Bottle vase,Bottle vase,vase
46150,Asian Art,Jar,Jar,jar
46151,Asian Art,Vase,Vase,vase
46152,Asian Art,Vase,Vase,vase
46153,Asian Art,Vase,Vase,vase
46154,Asian Art,Bottle,Miniature Bottle,bottle
46155,Asian Art,Bottle,Miniature Bottle,bottle
46156,Asian Art,Bottle,Miniature Bottle,bottle
46157,Asian Art,Vase,Prunus Vase,vase
46158,Asian Art,Vase,Vase,vase
46159,Asian Art,Vase,Square vase with scenes of four seasons,vase
46160,Asian Art,Bottle,Bottle,bottle
46161,Asian Art,Jar with cover,Jar with Cover,jar
46162,Asian Art,Bottle vase,Bottle vase,vase
46163,Asian Art,Vase,Vase,vase
46235,Asian Art,Jar,Jar with floral pattern,jar
46249,Asian Art,Covered jar,Covered jar with animal masks,jar
46250,Asian Art,Covered jar,Covered jar with floral patterns,jar
46268,Asian Art,Pot,Pot,pot
46269,Asian Art,Water pot,Water pot in the shape of a bird,pot
46306,Asian Art,Vase,Vase with arhat,vase
46315,Asian Art,Vase,Miniature vase,vase
46317,Asian Art,Jar,Miniature jar,jar
46330,Asian Art,Vase,Vase with dragons amid floral sprays,vase
46331,Asian Art,Vase,Vase with dragon,vase
46333,Asian Art,Vase,Vase with the Pole Star deity (Kuixing),vase
46353,Asian Art,Vase,Square Vase,vase
46378,Asian Art,Vase,Vase,vase
46379,Asian Art,Vase,Minature meiping vase,vase
46380,Asian Art,Bottle vase,Bottle vase,vase
46422,Asian Art,Vase,Meiping vase with birds and flowers,vase
46425,Asian Art,Vase,Vase,vase
46434,Asian Art,Bottle vase,Bottle vase with poems,vase
46435,Asian Art,Vase,Vase,vase
46436,Asian Art,Vase,Vase,vase
46462,Asian Art,Vase,Meiping vase,vase
46478,Asian Art,Bottle,Bottle,bottle
46481,Asian Art,Bottle,Hexagonal Bottle,bottle
46501,Asian Art,Vase,Vase with scholar's objects,vase
46507,Asian Art,Vase,Meiping vase,vase
46508,Asian Art,Vase,Mallet-shaped vase,vase
46515,Asian Art,Vase,Meiping vase,vase
46516,Asian Art,Vase,Vase with floral scrolls,vase
46517,Asian Art,Vase,Vase,vase
46518,Asian Art,Vase,Vase,vase
46519,Asian Art,Vase,Minature Meiping vase,vase
46521,Asian Art,Vase,Vase with dragon,vase
46522,Asian Art,Vase,Vase with floral scrolls,vase
46523,Asian Art,Vase,Vase,vase
46525,Asian Art,Water pot,Water pot,pot
46527,Asian Art,Vase,Meiping vase,vase
46528,Asian Art,Vase,Pilgrim bottle vase,vase
46529,Asian Art,Vase,Meiping vase,vase
46530,Asian Art,Vase,Vase,vase
46531,Asian Art,Vase,Vase,vase
46532,Asian Art,Vase,Meiping vase,vase
46533,Asian Art,Vase,Meiping vase,vase
46534,Asian Art,Vase,Prunus Vase,vase
46535,Asian Art,Vase,Vase,vase
46536,Asian Art,Vase,Meiping vase with floral scrolls,vase
46537,Asian Art,Vase,Vase,vase
46538,Asian Art,Vase,Vase,vase
46539,Asian Art,Vase,Vase,vase
47259,Asian Art,Jar and cover,Jar and Cover,jar
47490,Asian Art,Vase,Vase with flowers,vase
205878,European Sculpture and Decorative Arts,Scent bottle,Scent bottle,bottle
770999,European Sculpture and Decorative Arts,Urn with lid,Urn with lid,jar
196553,European Sculpture and Decorative Arts,Vase with cover,Vase with cover,vase
199730,European Sculpture and Decorative Arts,Storage jar,Storage jar (albarello),jar
308546,The Michael C. Rockefeller Wing,Bottle,Stirrup Spout Bottle with Woman Carrying Burden,bottle
37436,Asian Art,Covered Lime pot,Covered Lime Pot in the Form of a Rabbit,pot
47332,Asian Art,Vase,Bon-Bon Vase,vase
477277,Medieval Art,Jug,Jug,jug
47568,Asian Art,Vase,Vase,vase
309396,The Michael C. Rockefeller Wing,Jar,Miniature Jar with Two Handles,jar
310207,The Michael C. Rockefeller Wing,Bottle,"Bottle, Deity Figure",bottle
308486,The Michael C. Rockefeller Wing,Vessel,Blind Spout Incised Vessel,vessel
309339,The Michael C. Rockefeller Wing,Bottle,Stirrup Spout Bottle with Figure,bottle
191780,European Sculpture and Decorative Arts,Vase,Vase,vase
463532,Medieval Art,Pitcher,Pitcher,pitcher
199461,European Sculpture and Decorative Arts,Bottle,Bottle,bottle
318606,The Michael C. Rockefeller Wing,Bottle,Lizard Stirrup Spout Jar,bottle
42425,Asian Art,Vase,Vase,vase
47228,Asian Art,Vase,Vase,vase
314679,The Michael C. Rockefeller Wing,Bottle,Fox Warrior Bottle,bottle
47665,Asian Art,Hanging vase,Hanging Vase,vase
48395,Asian Art,Vase,Meiping vase with floral patterns,vase
466229,The Cloisters,Pot,Footed pot,pot
312586,The Michael C. Rockefeller Wing,Vessel,Tripod vessel,vessel
44332,Asian Art,Jar,Cocoon-Shaped Jar,jar
62768,Asian Art,Tea jar,Tea Jar,jar
48088,Asian Art,Bottle,Bottle,bottle
770974,European Sculpture and Decorative Arts,Vase,Vase with rope and wheat decoration,vase
197233,European Sculpture and Decorative Arts,Pilgrim bottle,Pilgrim bottle,bottle
47260,Asian Art,Vase,Vase in form of a Carp,vase
313287,The Michael C. Rockefeller Wing,Bottle,Urpu (jar),bottle
308616,The Michael C. Rockefeller Wing,Bottle,Double Spout and Bridge Bottle in Feline Shape,bottle
207745,European Sculpture and Decorative Arts,Ewer,Ewer,pitcher
42218,Asian Art,Vase,"Vase with design of ""Hundred Antiques""",vase
188972,European Sculpture and Decorative Arts,Ewer,Ewer,pitcher
444495,Islamic Art,Bottle,Bottle,bottle
50502,Asian Art,Bottle,Bottle,bottle
48027,Asian Art,Jar,Jar,jar
446653,Islamic Art,Bottle,Bottle with Flying Cranes,bottle
62998,Asian Art,Tea jar,Tea jar,jar
52798,Asian Art,Jar,Jar with Mythical Qilin,jar
57436,Asian Art,Bottle,Bottle,bottle
46985,Asian Art,Square bottle,Square Bottle,bottle
206454,European Sculpture and Decorative Arts,Vase,Elephant-head vase (vase à tête d'éléphant),vase
202183,European Sculpture and Decorative Arts,Vase with cover,Vase with cover (Vase Paris enfants),vase
42436,Asian Art,Jar,Jar,jar
200895,European Sculpture and Decorative Arts,Vase with cover,Vase with cover,vase
63119,Asian Art,Tea jar,Tea jar,jar
42491,Asian Art,Vase,Faceted vase with flowers,vase
51210,Asian Art,Vase,Vase,vase
51023,Asian Art,Gallipot,Gallipot,jar
47470,Asian Art,Bottle,Bottle,bottle
447276,Islamic Art,Ewer,Ewer,pitcher
48332,Asian Art,Vase,Minature meiping vase,vase
309470,The Michael C. Rockefeller Wing,Jar,Storage jar,jar
199719,European Sculpture and Decorative Arts,Albarello,Albarello,jar
46633,Asian Art,Vase,Vase,vase
46799,Asian Art,Urn,Tomb urn,jar
310675,The Michael C. Rockefeller Wing,Jug,Jug,jug
308507,The Michael C. Rockefeller Wing,Bottle,Bottle with Runners,bottle
449066,Islamic Art,Jug,Jug,jug
446842,Islamic Art,Jar,Jar,jar
206742,European Sculpture and Decorative Arts,Vase,Vase (jasmin japonais),vase
50036,Asian Art,Vase,Vase with Elephant Handles,vase
452610,Islamic Art,Vase,Vase,vase
45849,Asian Art,Jar,Jar with dragon-shaped handles,jar
51138,Asian Art,Vase,Vase decorated with bats and peaches amid scrolling floral vines and “double happiness” character,vase
205321,European Sculpture and Decorative Arts,Scent bottle,Scent bottle,bottle
48665,Asian Art,Vase,Vase,vase
46580,Asian Art,Vase,Flower Vase,vase
51106,Asian Art,Vase,Vase,vase
52659,Asian Art,Vase,Vase,vase
204360,European Sculpture and Decorative Arts,Pitcher,Pitcher,pitcher
658676,European Sculpture and Decorative Arts,Vase,Vase,vase
48717,Asian Art,Bottle vase,Bottle vase with floral scrolls,vase
47075,Asian Art,Bottle,Bottle,bottle
46953,Asian Art,Vase,Vase,vase
771072,European Sculpture and Decorative Arts,Vase,Orb bottom vase with white and gold crane motif,vase
188535,European Sculpture and Decorative Arts,Globular vase,Globular vase,vase
448397,Islamic Art,Vase,Vase,vase
771041,European Sculpture and Decorative Arts,Vase,Vase,vase
205832,European Sculpture and Decorative Arts,Jug,Small jug,jug
50948,Asian Art,Covered jar,Covered Jar,jar
63138,Asian Art,Tea jar,Tea jar,jar
44422,Asian Art,Jar,Jar with Spiral Decoration,jar
63007,Asian Art,Vase,Vase in the Shape of a Bundle of Bamboo,vase
467634,Medieval Art,Jar,Two-Handled Jar with Lions' Heads,jar
47350,Asian Art,Vase,Vase,vase
447776,Islamic Art,Vase,Vase,vase
199384,European Sculpture and Decorative Arts,Ewer,Ewer,pitcher
48204,Asian Art,Vase,Vase,vase
199335,European Sculpture and Decorative Arts,Toby jug,Toby jug,jug
203377,European Sculpture and Decorative Arts,Perfume vase,Perfume vase,vase
39510,Asian Art,Urn,Covered Urn,jar
37649,Asian Art,Vessel,Pedestalled Vessel,vessel
46950,Asian Art,Jar,Jar,jar
49261,Asian Art,Vessel,Vessel,vessel
51011,Asian Art,Bottle,Bottle,bottle
57357,Asian Art,Vase,Vase with Inlaid Designs,vase
477291,Medieval Art,Pot,Pot,pot
48390,Asian Art,Vase,Meiping vase,vase
200841,European Sculpture and Decorative Arts,Toilet jar with cover,Toilet jar with cover,jar
48527,Asian Art,Pilgrim bottle,Pilgrim Bottle,bottle
201753,European Sculpture and Decorative Arts,Jug,"Jug with portraits of Emperor Charles V (1500–1558) and Johann Friedrich the Magnanimous (1503–1554), elector of Saxony",jug
453454,Islamic Art,Ewer,White Ewer with Blue Streaks,pitcher
51025,Asian Art,Vase,Vase,vase
461502,Robert Lehman Collection,Pot,Water pot,pot
316270,The Michael C. Rockefeller Wing,Bottle,Corn stalk-shaped vessel,bottle
450946,Islamic Art,Ewer,"Ewer Inscribed with ""al-'izz"" (""Glory"") in Floriated Kufic on its Neck",pitcher
48312,Asian Art,Vase,Meiping vase,vase
46830,Asian Art,Vase,Vase in the shape of archaic wine container (gu),vase
47857,Asian Art,Vase,Vase,vase
309441,The Michael C. Rockefeller Wing,Bottle,Raptorial Bird Bottle,bottle
187805,European Sculpture and Decorative Arts,Vase with cover,Vase with cover,vase
194586,European Sculpture and Decorative Arts,Jar,Screw-top jar (Schraubflasche),jar
49924,Asian Art,Flower pot,Flower Pot,pot
194289,European Sculpture and Decorative Arts,Ewer,Ewer,pitcher
308531,The Michael C. Rockefeller Wing,Bottle,Stirrup Spout Bottle with Portrait Head,bottle
42211,Asian Art,Vase,Vase,vase
312608,The Michael C. Rockefeller Wing,Vessel,Tuber-inspired stirrup-spout bottle with monkeys,bottle
308410,The Michael C. Rockefeller Wing,Bottle,Stirrup-spout bottle with bird warrior,bottle
52081,Asian Art,Jar and cover,"Small jar and cover decorated with chrysanthemums, cranes, and clouds",jar
50747,Asian Art,Vase,Vase with flowers,vase
48716,Asian Art,Bottle,Bottle vase with floral scrolls,bottle
42333,Asian Art,Covered jar,Covered jar (Guan),jar
313101,The Michael C. Rockefeller Wing,Bottle,Bridge and Spout Face Bottle,bottle
48516,Asian Art,Vase,Vase,vase
308568,The Michael C. Rockefeller Wing,Bottle,"Bottle, Mythic Figures",bottle
197613,European Sculpture and Decorative Arts,Cream jug,Cream jug,jug
204414,European Sculpture and Decorative Arts,Urn,Urn,jar
310547,The Michael C. Rockefeller Wing,Bottle,Bottle,bottle
205325,European Sculpture and Decorative Arts,Scent bottle,Scent bottle,bottle
449041,Islamic Art,Ewer,Ewer,pitcher
50187,Asian Art,Wine bottle,Large Wine Bottle,bottle
57434,Asian Art,Oil bottle,Oil Bottle,bottle
312158,The Michael C. Rockefeller Wing,Bottle,Bottle,bottle
309345,The Michael C. Rockefeller Wing,Bottle,Stirrup Spout Bottle with Figures,bottle
185914,European Sculpture and Decorative Arts,Jug with cover,Jug with cover,jug
670810,European Sculpture and Decorative Arts,Jug,Jug,jug
449637,Islamic Art,Ewer,Ewer,pitcher
48597,Asian Art,Vase,Vase,vase
309346,The Michael C. Rockefeller Wing,Bottle,Stirrup Spout Bottle with Figures,bottle
37433,Asian Art,Footed urn,Footed Urn,jar
42394,Asian Art,Jar,"Jar decorated with rock, peonies, and birds",jar
308406,The Michael C. Rockefeller Wing,Bottle,Stirrup spout bottle in cap shape,bottle
48801,Asian Art,Vase,Vase,vase
50037,Asian Art,Vase,Vase,vase
44447,Asian Art,Vase,Vase,vase
50960,Asian Art,Covered ewer,Covered Ewer,pitcher
50834,Asian Art,Vase,Vase,vase
309324,The Michael C. Rockefeller Wing,Bottle,Stirrup Spout Bottle with Figure,bottle
205835,European Sculpture and Decorative Arts,Jug with cover,Jug with scroll handle and flat cover,jug
50950,Asian Art,Vase,Vase,vase
460135,Robert Lehman Collection,Jug,Armorial jug (boccale),jug
761272,The Michael C. Rockefeller Wing,Vessel,Vessel with water bird and hieroglyphic text,vessel
47447,Asian Art,Jar,Jar,jar
47804,Asian Art,Bottle vase,Bottle vase,vase
310517,The Michael C. Rockefeller Wing,Jar,Head jar,jar
468271,Medieval Art,Vessel,Vessel,vessel
446929,Islamic Art,Jar,Jar,jar
196741,European Sculpture and Decorative Arts,Albarello,Albarello,jar
47953,Asian Art,Vase,Vase,vase
447285,Islamic Art,Ewer,Ewer,pitcher
197824,European Sculpture and Decorative Arts,Jug,Jug,jug
63137,Asian Art,Tea jar,Tea jar,jar
50567,Asian Art,Bottle,Bottle,bottle
314635,The Michael C. Rockefeller Wing,Bottle,Spouted Bottle,bottle
466618,Medieval Art,Jug,Jug,jug
46932,Asian Art,Bottle vase,Bottle vase with dragon,vase
47587,Asian Art,Vase,Vase with a display of antiques,vase
42285,Asian Art,Oil bottle,Oil bottle decorated with peony leaves,bottle
47908,Asian Art,Wine pot,Wine pot,pot
203276,European Sculpture and Decorative Arts,Pilgrim bottle,Pilgrim bottle,bottle
48552,Asian Art,Jar,Jar with lion-head ornaments,jar
448261,Islamic Art,Jar,Jar,jar
451707,Islamic Art,Ewer,Ewer,pitcher
47158,Asian Art,Flower vase,Flower Vase,vase
451363,Islamic Art,Jar,Jar,jar
194238,European Sculpture and Decorative Arts,Scent bottle,Scent bottle,bottle
39512,Asian Art,Jar,Covered Jar,jar
444893,Islamic Art,Bottle,Pear-Shaped Bottle with Birds,bottle
44450,Asian Art,Jar with lid,Ceramic Jar with Ivory Lid,jar
192802,European Sculpture and Decorative Arts,Vase with cover,Vase with cover,vase
203299,European Sculpture and Decorative Arts,Jar,Jar (bulb pot),jar
63135,Asian Art,Tea jar,Tea jar,jar
318605,The Michael C. Rockefeller Wing,Bottle,Compartmented Stirrup Spout Jar,bottle
50813,Asian Art,Vase,Vase,vase
49896,Asian Art,Jar,Jar,jar
48311,Asian Art,Vase,Vase with dragon amid floral scrolls,vase
658719,European Sculpture and Decorative Arts,Jug,Jug,jug
47222,Asian Art,Pen washer,Covered Vessel with Design of Horizontal Bands of Diaper Patterns,vessel
871929,European Sculpture and Decorative Arts,Vase,Vase with centipede,vase
47648,Asian Art,Bottle,Bottle,bottle
208243,European Sculpture and Decorative Arts,Bottle,Bottle,bottle
447289,Islamic Art,Ewer,Ewer,pitcher
52059,Asian Art,Water bottle,Writer's Water Bottle,bottle
310219,The Michael C. Rockefeller Wing,Bottle,Double Spout Bottle,bottle
48701,Asian Art,Vase,Vase with birds and flowers,vase
48714,Asian Art,Vase,Vase,vase
314693,The Michael C. Rockefeller Wing,Bottle,Stirrup Spout Bottle with Sea Monster,bottle
445270,Islamic Art,Ewer,Ewer,pitcher
446841,Islamic Art,Jar,Jar,jar
62601,Asian Art,Tea jar,Tea Jar,jar
309442,The Michael C. Rockefeller Wing,Bottle,Geometric Pattern Bottle,bottle
204364,European Sculpture and Decorative Arts,Pitcher,Pitcher,pitcher
477288,Medieval Art,Pot,Pot,pot
308451,The Michael C. Rockefeller Wing,Bottle,Melon Shaped Bottle,bottle
309490,The Michael C. Rockefeller Wing,Bottle,Single Spout Portrait Head Bottle,bottle
63142,Asian Art,Tea jar,Tea jar,jar
210743,European Sculpture and Decorative Arts,Bottle,Pinch bottle,bottle
308582,The Michael C. Rockefeller Wing,Bottle,Double Spout and Bridge Bottle with Bird Demon,bottle
42206,Asian Art,Vase,Vase with Basket of Auspicious Flowers,vase
195041,European Sculpture and Decorative Arts,Rosewater jug,Rosewater jug,jug
204386,European Sculpture and Decorative Arts,Jug,Jug,jug
47258,Asian Art,Water bottle,Sake Bottle (Tokkuri) in the Shape of an Eggplant,bottle
62590,Asian Art,Jar,Jar,jar
771025,European Sculpture and Decorative Arts,Vase,Vase with handles,vase
50213,Asian Art,Vessel,Urn or Jar,jar
50334,Asian Art,Water jar,Freshwater Jar (Mizusashi) with Pine (front) and Plum with Bamboo (reverse),jar
205323,European Sculpture and Decorative Arts,Scent bottle,Scent bottle,bottle
310645,The Michael C. Rockefeller Wing,Bottle,"Bottle, Skeletal Couple with Child",bottle
193093,European Sculpture and Decorative Arts,Jug,Jug,jug
190600,European Sculpture and Decorative Arts,Scent bottle,Scent bottle,bottle
46714,Asian Art,Vase,Vase,vase
465875,Medieval Art,Jar,Jar,jar
37524,Asian Art,Vessel with lid,Vessel with Lid,vessel
37537,Asian Art,Jar,Jar,jar
770940,European Sculpture and Decorative Arts,Pilgrim flask,Pilgrim flask with botanical spray and butterfly,flask
51217,Asian Art,Vase,Vase,vase
42397,Asian Art,Vase,Vase decorated with peonies and chrysanthemums,vase
46965,Asian Art,Jar,Jar,jar
46569,Asian Art,Vase,Miniature vase,vase
57422,Asian Art,Bottle,Bottle,bottle
197572,European Sculpture and Decorative Arts,Cream jug,Cream jug,jug
48699,Asian Art,Vase,Vase with relief decoration of figures,vase
48509,Asian Art,Pot,Pot with two handles,pot
48840,Asian Art,Vase,Vase,vase
46590,Asian Art,Bottle vase,Bottle vase,vase
320343,The Michael C. Rockefeller Wing,Bottle,"Bottle, Head on Spout",bottle
46675,Asian Art,Vase,Vase,vase
44727,Asian Art,Jar,Jar (Guan),jar
313241,The Michael C. Rockefeller Wing,Vessel,Vessel,vessel
200823,European Sculpture and Decorative Arts,Toilet jar with cover,Toilet jar with cover,jar
309486,The Michael C. Rockefeller Wing,Bottle,Frog Bottle,bottle
48340,Asian Art,Vase,Miniature meiping vase,vase
194235,European Sculpture and Decorative Arts,Scent bottle,Scent bottle in the form of a huntress,bottle
309509,The Michael C. Rockefeller Wing,Bottle,Stirrup-spout bottle with monkey and snake,bottle
312802,The Michael C. Rockefeller Wing,Vessel,Figure Vessel,vessel
50349,Asian Art,Vase,Vase in Shape of Archaic Chinese bronze,vase
49296,Asian Art,Apothecary bottle,Apothecary bottle,bottle
313155,The Michael C. Rockefeller Wing,Vessel,Animal Vessel,vessel
446878,Islamic Art,Vessel,Spheroconical Vessel,vessel
49216,Asian Art,Bottle,Bottle with Peony Scroll,bottle
308296,The Michael C. Rockefeller Wing,Bottle,"Bottle, Falcon",bottle
63061,Asian Art,Covered jar,Covered Jar,jar
200886,European Sculpture and Decorative Arts,Vase with cover,Vase with cover,vase
316177,The Michael C. Rockefeller Wing,Bottle,Bottle in the shape of a dog,bottle
308291,The Michael C. Rockefeller Wing,Bottle,"Bottle, Feline Face",bottle
47786,Asian Art,Wine bottle,Wine Bottle,bottle
73217,Asian Art,Jar,Jar decorated with dragons,jar
308386,The Michael C. Rockefeller Wing,Bottle,Stirrup spout bottle with fish demon and tumi,bottle
45889,Asian Art,Vase,Vase with birds and flowers,vase
49344,Asian Art,Vase,Vase with Flowers and Birds,vase
48324,Asian Art,Vase,Vase with ladies and flowers,vase
50192,Asian Art,Bottle,"Bottle with Rock, Flowers, and Birds",bottle
57404,Asian Art,Jar,Jar,jar
47858,Asian Art,Jar,Jar with Cover,jar
